eps,mu,Type,avgFailRate,pctAllFail
0,0.0,ggnull,0,0
0,0.0,ghc0,0,0
0,0.0,ggnull0,0,0
5,2.444,ggnull,0,0
5,2.444,ghc0,0,0
5,2.444,ggnull0,0,0
5,2.556,ggnull,0,0
5,2.556,ghc0,0,0
5,2.556,ggnull0,0,0
5,2.333,ggnull,0,0
5,2.333,ghc0,0,0
5,2.333,ggnull0,0,0
5,2.667,ggnull,0,0
5,2.667,ghc0,0,0
5,2.667,ggnull0,0,0
5,2.222,ggnull,0,0
5,2.222,ghc0,0,0
5,2.222,ggnull0,0,0
5,2.778,ggnull,0,0
5,2.778,ghc0,0,0
5,2.778,ggnull0,0,0
5,2.111,ggnull,0,0
5,2.111,ghc0,0,0
5,2.111,ggnull0,0,0
5,2.889,ggnull,0,0
5,2.889,ghc0,0,0
5,2.889,ggnull0,0,0
5,2.0,ggnull,0,0
5,2.0,ghc0,0,0
5,2.0,ggnull0,0,0
5,3.0,ggnull,0,0
5,3.0,ghc0,0,0
5,3.0,ggnull0,0,0
4,2.556,ggnull,0,0
4,2.556,ghc0,0,0
4,2.556,ggnull0,0,0
6,2.444,ggnull,0,0
6,2.444,ghc0,0,0
6,2.444,ggnull0,0,0
6,2.556,ggnull,0,0
6,2.556,ghc0,0,0
6,2.556,ggnull0,0,0
4,2.667,ggnull,0,0
4,2.667,ghc0,0,0
4,2.667,ggnull0,0,0
6,2.333,ggnull,0,0
6,2.333,ghc0,0,0
6,2.333,ggnull0,0,0
6,2.667,ggnull,0,0
6,2.667,ghc0,0,0
6,2.667,ggnull0,0,0
4,2.778,ggnull,0,0
4,2.778,ghc0,0,0
4,2.778,ggnull0,0,0
6,2.222,ggnull,0,0
6,2.222,ghc0,0,0
6,2.222,ggnull0,0,0
6,2.778,ggnull,0,0
6,2.778,ghc0,0,0
6,2.778,ggnull0,0,0
4,2.889,ggnull,0,0
4,2.889,ghc0,0,0
4,2.889,ggnull0,0,0
6,2.111,ggnull,0,0
6,2.111,ghc0,0,0
6,2.111,ggnull0,0,0
6,2.889,ggnull,0,0
6,2.889,ghc0,0,0
6,2.889,ggnull0,0,0
4,3.0,ggnull,0,0
4,3.0,ghc0,0,0
4,3.0,ggnull0,0,0
6,2.0,ggnull,0,0
6,2.0,ghc0,0,0
6,2.0,ggnull0,0,0
6,3.0,ggnull,0,0
6,3.0,ghc0,0,0
6,3.0,ggnull0,0,0
7,2.444,ggnull,0,0
7,2.444,ghc0,0,0
7,2.444,ggnull0,0,0
7,2.556,ggnull,0,0
7,2.556,ghc0,0,0
7,2.556,ggnull0,0,0
3,2.667,ggnull,0,0
3,2.667,ghc0,0,0
3,2.667,ggnull0,0,0
7,2.333,ggnull,0,0
7,2.333,ghc0,0,0
7,2.333,ggnull0,0,0
7,2.667,ggnull,0,0
7,2.667,ghc0,0,0
7,2.667,ggnull0,0,0
3,2.778,ggnull,0,0
3,2.778,ghc0,0,0
3,2.778,ggnull0,0,0
7,2.222,ggnull,0,0
7,2.222,ghc0,0,0
7,2.222,ggnull0,0,0
7,2.778,ggnull,0,0
7,2.778,ghc0,0,0
7,2.778,ggnull0,0,0
3,2.889,ggnull,0,0
3,2.889,ghc0,0,0
3,2.889,ggnull0,0,0
7,2.111,ggnull,0,0
7,2.111,ghc0,0,0
7,2.111,ggnull0,0,0
7,2.889,ggnull,0,0
7,2.889,ghc0,0,0
7,2.889,ggnull0,0,0
3,3.0,ggnull,0,0
3,3.0,ghc0,0,0
3,3.0,ggnull0,0,0
7,2.0,ggnull,0,0
7,2.0,ghc0,0,0
7,2.0,ggnull0,0,0
7,3.0,ggnull,0,0
7,3.0,ghc0,0,0
7,3.0,ggnull0,0,0
8,2.444,ggnull,0,0
8,2.444,ghc0,0,0
8,2.444,ggnull0,0,0
8,2.556,ggnull,0,0
8,2.556,ghc0,0,0
8,2.556,ggnull0,0,0
8,2.333,ggnull,0,0
8,2.333,ghc0,0,0
8,2.333,ggnull0,0,0
8,2.667,ggnull,0,0
8,2.667,ghc0,0,0
8,2.667,ggnull0,0,0
8,2.222,ggnull,0,0
8,2.222,ghc0,0,0
8,2.222,ggnull0,0,0
8,2.778,ggnull,0,0
8,2.778,ghc0,0,0
8,2.778,ggnull0,0,0
2,2.889,ggnull,0,0
2,2.889,ghc0,0,0
2,2.889,ggnull0,0,0
8,2.111,ggnull,0,0
8,2.111,ghc0,0,0
8,2.111,ggnull0,0,0
8,2.889,ggnull,0,0
8,2.889,ghc0,0,0
8,2.889,ggnull0,0,0
2,3.0,ggnull,0,0
2,3.0,ghc0,0,0
2,3.0,ggnull0,0,0
8,2.0,ggnull,0,0
8,2.0,ghc0,0,0
8,2.0,ggnull0,0,0
8,3.0,ggnull,0,0
8,3.0,ghc0,0,0
8,3.0,ggnull0,0,0
